iter	MultiClass
0	1.380305077
1	1.372563896
2	1.365806722
3	1.361286605
4	1.355373259
5	1.349606953
6	1.345271359
7	1.339982024
8	1.334911788
9	1.329756271
10	1.324163778
11	1.320549099
12	1.314893456
13	1.310579614
14	1.306778477
15	1.300993329
16	1.29291306
17	1.287828075
18	1.281767878
19	1.275427726
20	1.269871188
21	1.267376512
22	1.261389142
23	1.256615664
24	1.25327266
25	1.249795372
26	1.246263719
27	1.242972012
28	1.239537923
29	1.234092393
30	1.231124723
31	1.227908145
32	1.224172997
33	1.22118521
34	1.217446483
35	1.215147581
36	1.212384914
37	1.208991354
38	1.206172804
39	1.204589233
40	1.201150401
41	1.197315662
42	1.194396928
43	1.192519476
44	1.188092571
45	1.185607322
46	1.180918011
47	1.176781916
48	1.173485407
49	1.170235023
50	1.166338675
51	1.162027216
52	1.157781711
53	1.151942354
54	1.146997569
55	1.14499799
56	1.140942753
57	1.138470611
58	1.136509067
59	1.132859091
60	1.128163979
61	1.125826893
62	1.123159123
63	1.120839648
64	1.117312849
65	1.11277574
66	1.109418728
67	1.105625584
68	1.10034721
69	1.095901303
70	1.093557575
71	1.090689305
72	1.085988282
73	1.082573314
74	1.07824894
75	1.074151504
76	1.071424649
77	1.06678385
78	1.06279159
79	1.059420634
80	1.055957687
81	1.051954307
82	1.047264151
83	1.044262962
84	1.040447477
85	1.037007726
86	1.035515292
87	1.032534464
88	1.030776595
89	1.026844259
90	1.023818338
91	1.021118597
92	1.019074422
93	1.016682338
94	1.013508379
95	1.010309702
96	1.008335709
97	1.006410161
98	1.004978758
99	1.001108937
100	0.9982427291
101	0.9955589744
102	0.9930384514
103	0.9880948282
104	0.9852318008
105	0.982596915
106	0.9795975695
107	0.9772669136
108	0.9751600324
109	0.9717131298
110	0.9697368033
111	0.9682343331
112	0.9664016952
113	0.9640250132
114	0.9610793813
115	0.9587076139
116	0.9557165381
117	0.9527259803
118	0.9501312357
119	0.9482313641
120	0.945207887
121	0.9425388445
122	0.940026351
123	0.9382462034
124	0.9357929148
125	0.9340825707
126	0.9322242173
127	0.930798673
128	0.9292152135
129	0.9271175984
130	0.9247248019
131	0.923153093
132	0.9211389175
133	0.9176063968
134	0.914684742
135	0.9125848876
136	0.9107297786
137	0.9082818681
138	0.9066521397
139	0.9029997272
140	0.901043909
141	0.8979138878
142	0.8948056156
143	0.8938192474
144	0.8918086888
145	0.889424261
146	0.8873928022
147	0.8854656982
148	0.8826232082
149	0.8797846874
150	0.8784166244
151	0.8764710573
152	0.8735697141
153	0.8719824806
154	0.8696113841
155	0.8663915454
156	0.8641022875
157	0.8604693845
158	0.858698182
159	0.8577605565
160	0.8560031668
161	0.854747956
162	0.8533778078
163	0.8515197837
164	0.8496053249
165	0.8472596454
166	0.8449944235
167	0.8433261016
168	0.8415278742
169	0.8390473501
170	0.836467015
171	0.8330204236
172	0.8312463743
173	0.8286818141
174	0.8267826569
175	0.8248868321
176	0.8234163033
177	0.8222501258
178	0.8195004082
179	0.8169742728
180	0.8136594361
181	0.8111401942
182	0.8094704718
183	0.8081406731
184	0.8066950176
185	0.8048343803
186	0.802107585
187	0.8000992902
188	0.7977821733
189	0.7953444525
190	0.7932789307
191	0.7922531375
192	0.7910492207
193	0.7889804906
194	0.7865410438
195	0.7834918795
196	0.7814496796
197	0.7791354769
198	0.7760553555
199	0.7751446699
200	0.7732609694
201	0.7713300005
202	0.7698816806
203	0.7684854887
204	0.7667038488
205	0.7642698229
206	0.7624425803
207	0.7607346609
208	0.7587108114
209	0.7570818774
210	0.7546260775
211	0.7528937648
212	0.7516966602
213	0.7493054283
214	0.7466229952
215	0.74478735
216	0.7422663386
217	0.7402638039
218	0.738635897
219	0.7372186356
220	0.7353978279
221	0.7327753726
222	0.7308259523
223	0.7297919739
224	0.7274830166
225	0.724610223
226	0.7228604235
227	0.7214392494
228	0.7197937302
229	0.7181317646
230	0.7145900438
231	0.7134829611
232	0.7122461045
233	0.7103812209
234	0.7090252185
235	0.7067699318
236	0.7048932204
237	0.7041159616
238	0.7028625661
239	0.7015236115
240	0.6995078603
241	0.6986102297
242	0.6976749657
243	0.695881081
244	0.6940538905
245	0.6929424104
246	0.6914464991
247	0.6898911594
248	0.6880915827
249	0.6857171608
250	0.684466004
251	0.6833932962
252	0.6820121815
253	0.6800110185
254	0.6788503034
255	0.6774491046
256	0.6752719647
257	0.6738891513
258	0.6717459362
259	0.6702910257
260	0.6696504491
261	0.6687693612
262	0.6678735384
263	0.6656424194
264	0.6640662405
265	0.6623010214
266	0.6606041566
267	0.6590345302
268	0.6571956758
269	0.6559363706
270	0.6542188528
271	0.6527182307
272	0.6519127556
273	0.6510051928
274	0.6488965687
275	0.6477320547
276	0.6466266682
277	0.645060491
278	0.6438487684
279	0.6423078851
280	0.6412707842
281	0.6405138609
282	0.6394777853
283	0.6378552116
284	0.6373735372
285	0.6361310112
286	0.63489811
287	0.6330328724
288	0.6318586193
289	0.6296316438
290	0.6280809392
291	0.6272229657
292	0.6259224921
293	0.6240767166
294	0.6224993602
295	0.6216230446
296	0.6196954344
297	0.6187138934
298	0.6171763351
299	0.6151591946
300	0.6136804244
301	0.6122770978
302	0.6115982459
303	0.610093599
304	0.60836985
305	0.6070431159
306	0.6059132537
307	0.6047438712
308	0.6034820922
309	0.6022461699
310	0.600701398
311	0.5991967632
312	0.5985225605
313	0.5972022405
314	0.5959584827
315	0.5953817775
316	0.5938300409
317	0.5925959135
318	0.5903177753
319	0.5890684639
320	0.5864199036
321	0.5853919218
322	0.5833440171
323	0.5818022443
324	0.5801007954
325	0.5791548047
326	0.5773195399
327	0.5761333987
328	0.5753844794
329	0.5743956631
330	0.5728880385
331	0.5719608222
332	0.5704519792
333	0.5700032224
334	0.5691202145
335	0.5682963554
336	0.5673624146
337	0.5661500476
338	0.5640357351
339	0.5629805379
340	0.5618086633
341	0.5606797688
342	0.5591592925
343	0.5583132056
344	0.5565900263
345	0.5554568387
346	0.5547881357
347	0.5539432564
348	0.5525730771
349	0.5516260049
350	0.5509279793
351	0.5495797961
352	0.5485756631
353	0.5473926789
354	0.545851009
355	0.5443632487
356	0.5428687852
357	0.5409394165
358	0.5400770471
359	0.5391063976
360	0.5377381113
361	0.5370446239
362	0.535701443
363	0.5349790234
364	0.5344717367
365	0.5333255583
366	0.5321509979
367	0.530738437
368	0.5299159243
369	0.5288757918
370	0.5278744214
371	0.5258423849
372	0.524976028
373	0.524116025
374	0.5234816118
375	0.5223923852
376	0.5215758941
377	0.5206231393
378	0.5200296828
379	0.5183561089
380	0.5178427444
381	0.5162856213
382	0.5154346127
383	0.5147604629
384	0.5138109229
385	0.5131364672
386	0.511645837
387	0.5106516897
388	0.5100464261
389	0.5090424261
390	0.5077232127
391	0.5072197333
392	0.5066248422
393	0.506331168
394	0.5058274602
395	0.5048273344
396	0.503600961
397	0.502614037
398	0.5011966447
399	0.5001268906
400	0.4990584493
401	0.4981054272
402	0.4971607617
403	0.4962179118
404	0.4949207358
405	0.4937372648
406	0.4928308467
407	0.4922240388
408	0.4916106541
409	0.4908228123
410	0.4900183501
411	0.4892617006
412	0.4885218672
413	0.4869054746
414	0.4859087279
415	0.4852640498
416	0.4842558685
417	0.4833054694
418	0.4827679349
419	0.4818036365
420	0.4805318042
421	0.4795502581
422	0.4787535757
423	0.4781148916
424	0.4773248355
425	0.4769556851
426	0.4756159864
427	0.4747317934
428	0.4739745461
429	0.4734080995
430	0.4725053444
431	0.4716202593
432	0.4711234242
433	0.4697481209
434	0.4687241392
435	0.4677286094
436	0.4666811464
437	0.4659945004
438	0.4650260322
439	0.4644124662
440	0.4634011833
441	0.4620409024
442	0.4609348508
443	0.4603876257
444	0.4593091522
445	0.4584520643
446	0.4574980057
447	0.4571486014
448	0.4557711992
449	0.4546991829
450	0.4540753317
451	0.453156048
452	0.4520457133
453	0.4514938229
454	0.4509883626
455	0.4502955975
456	0.4496820864
457	0.4488154435
458	0.4483686578
459	0.4475027139
460	0.4464859079
461	0.4454983023
462	0.4440521755
463	0.4432689751
464	0.4424643067
465	0.4413348315
466	0.4407337207
467	0.4399299294
468	0.4393305511
469	0.438775447
470	0.4383101101
471	0.4376380288
472	0.4371451697
473	0.436810685
474	0.4358493119
475	0.4346676707
476	0.4336990654
477	0.4332924769
478	0.4328251289
479	0.4324592443
480	0.4315273265
481	0.4308737862
482	0.4297253528
483	0.4292436068
484	0.4284258573
485	0.4278480173
486	0.4271009227
487	0.4264268517
488	0.4257661146
489	0.425005547
490	0.4241345204
491	0.4232670712
492	0.4228836638
493	0.4219465424
494	0.4213816835
495	0.4210008825
496	0.4202804271
497	0.4194202124
498	0.4186311191
499	0.4179040122
